Teams,TAS,SAS,ISB,ISM,ISKL,JIS,W,L,D,POINTS
TAS,null,W,W,W,W,W,5,,,5
SAS,L,null,W,W,W,W,4,1,,4
ISB,L,L,null,L,W,W,2,3,,2
ISM,L,L,W,null,W,L,2,3,,2
ISKL,L,L,L,L,null,W,1,4,,1
JIS,L,L,L,W,L,null,1,4,,1
