Teams,1st,2nd,3rd,4th,5th,6th,7th,Runs,Hits,Errors
ISKL,,,,,,,,,,
SAS,,,,,,,,,,
,,,,,,,,,,
JIS,,,,,,,,,,
ISB,,,,,,,,,,
,,,,,,,,,,
ISM,,,,,,,,,,
TAS,,,,,,,,,,
,,,,,,,,,,
SAS,,,,,,,,,,
JIS,,,,,,,,,,
,,,,,,,,,,
TAS,,,,,,,,,,
ISKL,,,,,,,,,,
,,,,,,,,,,
ISB,,,,,,,,,,
ISM,,,,,,,,,,
,,,,,,,,,,
TAS,,,,,,,,,,
SAS,,,,,,,,,,
,,,,,,,,,,
ISM,,,,,,,,,,
JIS,,,,,,,,,,
,,,,,,,,,,
ISKL,,,,,,,,,,
ISB,,,,,,,,,,
,,,,,,,,,,
SAS,,,,,,,,,,
ISM,,,,,,,,,,
,,,,,,,,,,
JIS,,,,,,,,,,
ISKL,,,,,,,,,,
,,,,,,,,,,
ISB,,,,,,,,,,
TAS,,,,,,,,,,
,,,,,,,,,,
ISKL,,,,,,,,,,
ISM,,,,,,,,,,
,,,,,,,,,,
TAS,,,,,,,,,,
JIS,,,,,,,,,,
,,,,,,,,,,
SAS,,,,,,,,,,
ISB,,,,,,,,,,
